model_key,gguf_file,tensor,dims,ggml_type,n_elements,is_shared_expert_gate,verdict
gemma-4-26b-a4b-Q4_K_M,gemma-4-26b-a4b-Q4_K_M.gguf,blk.0.ffn_gate_inp.scale,2816,F32,2816,false,PASS
gemma-4-26b-a4b-Q4_K_M,gemma-4-26b-a4b-Q4_K_M.gguf,blk.0.ffn_gate_inp.weight,2816x128,F32,360448,false,PASS
gemma-4-26b-a4b-Q4_K_M,gemma-4-26b-a4b-Q4_K_M.gguf,blk.1.ffn_gate_inp.scale,2816,F32,2816,false,PASS
gemma-4-26b-a4b-Q4_K_M,gemma-4-26b-a4b-Q4_K_M.gguf,blk.1.ffn_gate_inp.weight,2816x128,F32,360448,false,PASS
gemma-4-26b-a4b-Q4_K_M,gemma-4-26b-a4b-Q4_K_M.gguf,blk.2.ffn_gate_inp.scale,2816,F32,2816,false,PASS
gemma-4-26b-a4b-Q4_K_M,gemma-4-26b-a4b-Q4_K_M.gguf,blk.2.ffn_gate_inp.weight,2816x128,F32,360448,false,PASS
gemma-4-26b-a4b-Q4_K_M,gemma-4-26b-a4b-Q4_K_M.gguf,blk.3.ffn_gate_inp.scale,2816,F32,2816,false,PASS
gemma-4-26b-a4b-Q4_K_M,gemma-4-26b-a4b-Q4_K_M.gguf,blk.3.ffn_gate_inp.weight,2816x128,F32,360448,false,PASS
gemma-4-26b-a4b-Q4_K_M,gemma-4-26b-a4b-Q4_K_M.gguf,blk.4.ffn_gate_inp.scale,2816,F32,2816,false,PASS
gemma-4-26b-a4b-Q4_K_M,gemma-4-26b-a4b-Q4_K_M.gguf,blk.4.ffn_gate_inp.weight,2816x128,F32,360448,false,PASS
gemma-4-26b-a4b-Q4_K_M,gemma-4-26b-a4b-Q4_K_M.gguf,blk.5.ffn_gate_inp.scale,2816,F32,2816,false,PASS
gemma-4-26b-a4b-Q4_K_M,gemma-4-26b-a4b-Q4_K_M.gguf,blk.5.ffn_gate_inp.weight,2816x128,F32,360448,false,PASS
gemma-4-26b-a4b-Q4_K_M,gemma-4-26b-a4b-Q4_K_M.gguf,blk.6.ffn_gate_inp.scale,2816,F32,2816,false,PASS
gemma-4-26b-a4b-Q4_K_M,gemma-4-26b-a4b-Q4_K_M.gguf,blk.6.ffn_gate_inp.weight,2816x128,F32,360448,false,PASS
gemma-4-26b-a4b-Q4_K_M,gemma-4-26b-a4b-Q4_K_M.gguf,blk.7.ffn_gate_inp.scale,2816,F32,2816,false,PASS
gemma-4-26b-a4b-Q4_K_M,gemma-4-26b-a4b-Q4_K_M.gguf,blk.7.ffn_gate_inp.weight,2816x128,F32,360448,false,PASS
gemma-4-26b-a4b-Q4_K_M,gemma-4-26b-a4b-Q4_K_M.gguf,blk.8.ffn_gate_inp.scale,2816,F32,2816,false,PASS
gemma-4-26b-a4b-Q4_K_M,gemma-4-26b-a4b-Q4_K_M.gguf,blk.8.ffn_gate_inp.weight,2816x128,F32,360448,false,PASS
gemma-4-26b-a4b-Q4_K_M,gemma-4-26b-a4b-Q4_K_M.gguf,blk.9.ffn_gate_inp.scale,2816,F32,2816,false,PASS
gemma-4-26b-a4b-Q4_K_M,gemma-4-26b-a4b-Q4_K_M.gguf,blk.9.ffn_gate_inp.weight,2816x128,F32,360448,false,PASS
gemma-4-26b-a4b-Q4_K_M,gemma-4-26b-a4b-Q4_K_M.gguf,blk.10.ffn_gate_inp.scale,2816,F32,2816,false,PASS
gemma-4-26b-a4b-Q4_K_M,gemma-4-26b-a4b-Q4_K_M.gguf,blk.10.ffn_gate_inp.weight,2816x128,F32,360448,false,PASS
gemma-4-26b-a4b-Q4_K_M,gemma-4-26b-a4b-Q4_K_M.gguf,blk.11.ffn_gate_inp.scale,2816,F32,2816,false,PASS
